開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-01-17,3,2,2024-01-17,1,1,0.32783196652634755,0,False
2024-01-17,3,3,2024-01-17,3,0,0.24190723845621762,0,True
2024-01-17,3,4,2024-01-17,4,0,0.1882872795050216,0,True
2024-01-17,3,5,2024-01-17,5,0,0.05184330793899963,0,True
2024-01-17,3,6,2024-01-17,4,0,0.28469895964698105,0,True
2024-01-17,3,7,2024-01-17,2,0,0.04109392940526674,0,True
2024-01-17,3,8,2024-01-17,1,1,0.6176643600040278,1,True
2024-01-17,3,9,2024-01-17,1,1,0.3860349511334405,0,False
2024-01-17,3,10,2024-01-17,5,0,0.14409882768543048,0,True
2024-01-17,3,11,2024-01-17,1,1,0.7829953502044062,1,True
2024-01-17,3,12,2024-01-17,1,1,0.7500065640447966,1,True
2024-01-18,4,1,2024-01-18,2,0,0.17021361089908219,0,True
2024-01-18,4,2,2024-01-18,1,1,0.6224836639530671,1,True
2024-01-18,4,3,2024-01-18,5,0,0.14608181753915975,0,True
2024-01-18,4,4,2024-01-18,4,0,0.1954623131935348,0,True
2024-01-18,4,5,2024-01-18,1,1,0.32205986967196354,0,False
2024-01-18,4,6,2024-01-18,1,1,0.515966332636442,1,True
2024-01-18,4,7,2024-01-18,2,0,0.2630147212323981,0,True
2024-01-18,4,8,2024-01-18,3,0,0.47166020188653596,0,True
2024-01-18,4,9,2024-01-18,1,1,0.8294357070737216,1,True
2024-01-18,4,10,2024-01-18,2,0,0.23572309939777528,0,True
2024-01-18,4,11,2024-01-18,1,1,0.771981666111216,1,True
2024-01-18,4,12,2024-01-18,1,1,0.8446396975817637,1,True
2024-01-19,5,1,2024-01-19,1,1,0.3194202790650401,0,False
2024-01-19,5,2,2024-01-19,1,1,0.4358336672987031,0,False
2024-01-19,5,3,2024-01-19,3,0,0.4896893469158723,0,True
2024-01-19,5,4,2024-01-19,2,0,0.558879123104818,1,False
2024-01-19,5,5,2024-01-19,1,1,0.6117020492716924,1,True
2024-01-19,5,7,2024-01-19,2,0,0.14577963258144855,0,True
2024-01-19,5,8,2024-01-19,1,1,0.8026327680045915,1,True
2024-01-19,5,9,2024-01-19,1,1,0.5381450701609921,1,True
2024-01-19,5,11,2024-01-19,1,1,0.7450811508245517,1,True
2024-01-19,5,12,2024-01-19,1,1,0.7686772311273691,1,True
2024-01-20,6,1,2024-01-20,1,1,0.5537881159416674,1,True
2024-01-20,6,2,2024-01-20,3,0,0.6025138709033514,1,False
2024-01-20,6,3,2024-01-20,1,1,0.616677509393724,1,True
2024-01-20,6,4,2024-01-20,2,0,0.18116807788308487,0,True
2024-01-20,6,5,2024-01-20,1,1,0.6802996269712387,1,True
