race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-06-15_R12,2-1-4,0,2-6-1,2-6-3,2-6-4,2-6-5,3-6-1
2025-06-18_R2,3-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-18_R4,4-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-18_R5,3-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-18_R7,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-18_R9,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-18_R12,3-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R1,3-6-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R2,3-4-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R3,4-6-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R4,4-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R5,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R7,3-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-19_R12,4-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-20_R3,6-2-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-20_R4,4-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-20_R5,3-5-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-20_R10,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-20_R11,3-5-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-21_R2,6-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-21_R7,6-3-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-21_R9,2-3-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-21_R12,4-2-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R1,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R2,2-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R3,6-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R4,2-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R6,3-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-24_R8,3-6-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R1,3-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R2,2-4-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R6,2-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R7,6-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R9,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R10,6-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-25_R11,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-26_R1,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-26_R3,2-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-26_R7,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-27_R2,4-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-27_R4,4-2-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-27_R5,3-5-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
