登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
4276,鈴　木　　勝　博,A1,168,54,6.63,53.0,6.65,52.4,67.6,6.79,54.7,68.4,41.7,11.3,12.2,48,13,115,3,2,0.15,21,90.4,0.15,2.7,22,54.5,0.14,1.9,21,52.3,0.14,2.8,22,68.1,0.15,1.8,22,18.1,0.15,3.2,7,0.0,0.16,3.7,18,1,0,1,1,0,10,2,3,1,4,2,6,5,4,1,4,1,12,3,2,1,1,3,2,2,4,1,9,4,0,0,1,2,3,1,2024-11-01,2025-04-30
4277,金　田　　大　輔,B1,166,52,4.35,24.6,4.71,29.9,42.8,4.81,32.0,43.6,15.9,8.7,10.1,11,6,69,2,0,0.17,9,77.7,0.17,3.3,10,10.0,0.19,3.4,13,7.6,0.2,3.8,12,41.6,0.18,2.8,11,18.1,0.13,2.2,14,7.1,0.15,3.5,5,2,0,0,0,1,0,1,1,1,4,3,0,1,4,0,4,4,5,0,1,2,3,1,1,1,0,5,3,1,0,1,1,4,3,5,2024-11-01,2025-04-30
4278,藤　岡　　俊　介,A1,166,53,6.29,42.8,6.75,49.8,67.8,6.81,51.0,67.6,24.1,18.8,12.0,32,25,133,5,1,0.12,25,64.0,0.12,2.5,27,51.8,0.12,2.7,20,35.0,0.1,2.0,21,38.1,0.13,2.1,27,33.3,0.13,2.5,13,23.0,0.15,3.3,13,3,3,2,1,2,8,6,3,3,4,3,4,3,3,7,1,2,2,6,3,4,2,4,4,5,3,3,9,3,1,2,1,5,4,0,2024-11-01,2025-04-30
4281,大　澤　　大　夢,B1,164,55,5.14,26.4,5.42,35.1,53.4,5.08,30.1,49.3,8.8,17.6,28.4,9,18,102,0,0,0.16,13,76.9,0.14,2.5,20,25.0,0.14,2.8,17,29.4,0.16,2.5,24,20.8,0.17,2.7,17,11.7,0.18,2.8,11,0.0,0.17,4.1,7,3,1,2,0,0,1,4,9,2,3,1,0,5,3,5,1,3,1,4,9,2,7,1,0,2,5,3,4,3,0,0,2,3,4,2,2024-11-01,2025-04-30
4283,石　井　　裕　美,B1,153,51,4.26,19.1,4.09,18.1,35.3,4.15,17.7,36.4,5.9,13.2,19.1,4,9,68,0,0,0.18,12,58.3,0.16,2.1,14,21.4,0.18,3.2,12,8.3,0.17,3.3,9,11.1,0.25,4.2,12,8.3,0.18,3.4,9,0.0,0.17,2.6,4,3,1,1,3,0,0,3,4,1,2,4,0,1,5,2,4,0,0,1,2,2,3,1,0,1,0,4,2,5,0,0,1,5,0,2,2024-11-01,2025-04-30
4286,平　田　　さやか,A2,167,47,5.71,30.1,5.72,37.4,56.1,5.72,37.1,56.2,19.0,11.1,27.0,24,14,126,2,0,0.16,23,78.2,0.12,2.0,21,42.8,0.14,2.3,22,22.7,0.16,2.5,21,23.8,0.16,2.8,20,5.0,0.16,2.7,19,0.0,0.21,3.6,14,4,2,2,0,0,5,4,7,4,1,0,3,2,6,6,1,3,2,3,10,3,3,0,0,1,4,4,7,4,0,0,5,6,6,2,2024-11-01,2025-04-30
4287,今　井　　貴　士,A1,163,59,6.56,50.6,6.67,51.1,67.4,6.71,51.6,68.1,27.0,23.7,14.5,41,36,152,5,1,0.15,38,86.8,0.15,2.6,22,50.0,0.15,2.7,17,64.7,0.16,2.9,31,41.9,0.15,2.5,25,28.0,0.17,2.9,19,10.5,0.14,2.7,27,6,1,3,1,0,3,8,7,3,1,0,4,7,3,1,1,1,6,7,7,4,5,2,1,6,1,7,6,4,0,2,3,5,4,5,2024-11-01,2025-04-30
4288,永　田　　啓　二,A1,170,55,6.86,51.4,6.63,50.2,68.4,6.98,54.9,72.3,31.9,19.6,14.5,44,27,138,7,3,0.13,32,84.3,0.11,1.8,27,48.1,0.13,2.5,22,68.1,0.14,2.5,25,40.0,0.13,2.3,13,15.3,0.15,3.3,19,21.0,0.14,3.3,24,3,2,1,1,1,5,8,5,2,4,3,6,9,2,4,1,0,6,4,5,5,0,3,2,0,3,4,1,3,1,3,3,5,5,2,2024-11-01,2025-04-30
4289,落　合　　直　子,B1,151,47,5.44,38.9,6.07,44.0,60.8,6.11,44.6,62.2,22.1,16.8,13.3,25,19,113,0,0,0.13,21,85.7,0.14,2.1,22,45.4,0.12,2.4,15,53.3,0.12,1.9,18,22.2,0.13,2.5,18,16.6,0.12,1.8,18,5.5,0.14,2.7,13,5,1,2,0,0,5,5,2,5,3,2,4,4,3,1,1,2,1,3,3,3,5,3,1,2,6,4,1,3,1,0,0,4,4,9,2024-11-01,2025-04-30
4290,稲　田　　浩　二,A1,169,53,6.97,45.9,7.02,52.2,67.8,7.03,50.6,66.2,27.4,18.5,17.8,37,25,135,3,1,0.13,31,90.3,0.12,2.0,17,35.2,0.14,3.3,25,36.0,0.12,2.0,24,41.6,0.16,3.2,20,25.0,0.13,3.3,18,22.2,0.13,2.6,27,1,2,1,0,0,3,3,4,3,2,2,2,7,6,4,2,4,4,6,6,4,2,2,1,4,3,4,2,6,0,4,3,6,4,1,2024-11-01,2025-04-30
4292,麻　生　　慎　介,A2,164,54,6.07,34.4,6.18,43.2,62.5,6.39,45.8,65.9,18.5,16.0,24.4,22,19,119,4,0,0.14,24,70.8,0.14,2.4,16,25.0,0.17,3.2,22,36.3,0.12,3.0,20,25.0,0.13,2.6,20,25.0,0.13,2.2,17,11.7,0.14,3.2,12,5,1,2,1,2,0,4,4,5,0,3,3,5,7,4,1,2,4,1,9,3,2,1,3,2,4,9,0,1,0,2,4,5,2,3,2024-11-01,2025-04-30
4293,鈴　木　　智　啓,A2,170,59,5.57,39.8,5.06,31.3,48.4,5.17,33.2,50.4,22.8,17.1,13.8,28,21,123,1,1,0.16,23,86.9,0.16,2.4,14,42.8,0.18,3.9,25,40.0,0.16,3.0,24,25.0,0.14,2.6,18,27.7,0.16,3.4,19,10.5,0.17,3.7,17,3,2,0,0,0,3,3,1,4,2,1,3,7,7,3,3,2,4,2,3,8,3,4,1,4,2,3,5,2,0,2,2,2,6,7,2024-11-01,2025-04-30
4294,古　賀　　繁　輝,A2,164,59,5.58,36.8,6.6,48.9,65.5,6.6,49.0,66.3,20.0,16.8,8.4,19,16,95,2,0,0.17,21,76.1,0.15,2.7,14,57.1,0.18,3.5,14,14.2,0.17,3.3,16,25.0,0.17,4.0,16,12.5,0.16,3.7,14,21.4,0.18,3.9,13,3,3,0,0,1,2,6,1,1,3,1,1,1,2,5,3,2,1,3,2,5,3,2,0,2,0,2,8,4,2,1,0,3,7,1,2024-11-01,2025-04-30
4295,小　坂　　尚　哉,A1,170,54,7.13,56.5,6.66,48.7,68.0,6.76,50.0,70.1,31.2,25.4,15.2,43,35,138,6,1,0.13,27,100.0,0.12,2.1,21,61.9,0.16,2.9,28,57.1,0.13,2.0,21,47.6,0.13,2.1,22,36.3,0.13,2.8,19,21.0,0.14,2.7,21,6,0,0,0,0,3,10,5,1,2,0,9,7,7,1,4,0,5,5,3,4,3,1,4,4,1,6,6,1,1,3,5,6,2,2,2024-11-01,2025-04-30
4296,岡　崎　　恭　裕,A1,172,53,7.04,56.3,7.3,52.6,68.2,7.11,51.7,66.9,28.2,28.2,18.2,31,31,110,7,2,0.13,28,89.2,0.13,2.3,19,57.8,0.12,2.8,15,26.6,0.15,2.5,26,42.3,0.11,2.0,14,50.0,0.13,2.5,8,50.0,0.11,3.1,21,4,0,1,1,1,3,8,3,3,1,0,2,2,4,1,3,3,2,9,8,3,0,4,1,6,3,2,1,0,2,2,2,1,0,1,2024-11-01,2025-04-30
4297,山　田　　哲　也,A1,170,52,6.8,51.8,6.66,49.7,62.8,6.69,50.5,62.8,35.5,16.4,11.8,39,18,110,3,1,0.1,22,81.8,0.1,1.7,19,57.8,0.11,2.1,20,45.0,0.11,1.8,16,50.0,0.1,1.6,21,38.1,0.08,1.5,12,25.0,0.09,1.9,17,1,0,3,0,0,6,5,3,3,1,1,6,3,2,2,5,2,6,2,4,3,0,1,3,5,2,3,4,4,1,2,2,2,1,4,2024-11-01,2025-04-30
4298,宮　下　　元　胤,A2,170,55,6.0,40.5,5.81,37.4,59.6,5.89,38.7,59.8,16.5,24.0,22.3,20,29,121,4,0,0.18,22,81.8,0.16,2.4,20,45.0,0.17,3.4,15,40.0,0.14,2.7,23,26.0,0.17,4.2,24,29.1,0.2,3.5,17,17.6,0.21,4.6,10,8,2,1,0,0,4,5,2,4,4,1,2,4,5,1,3,0,3,3,8,7,2,0,0,7,7,4,5,1,1,2,3,3,6,2,2024-11-01,2025-04-30
4299,中　島　　浩　哉,B1,167,57,4.61,25.0,4.54,24.2,41.1,4.58,24.2,41.9,9.1,15.9,15.9,8,14,88,0,0,0.14,11,90.9,0.13,2.5,19,21.0,0.16,2.9,16,31.2,0.14,2.6,15,6.6,0.14,3.1,17,11.7,0.12,2.6,10,0.0,0.17,3.4,7,3,0,1,0,0,0,4,3,5,2,5,0,5,2,3,3,3,0,1,3,6,3,2,1,1,4,4,4,3,0,0,2,2,3,3,2024-11-01,2025-04-30
4300,加　藤　　　　綾,B1,160,50,4.73,23.7,4.85,28.3,45.8,4.89,29.1,46.8,11.2,12.5,17.5,9,10,80,1,0,0.21,10,70.0,0.21,3.1,15,33.3,0.2,4.0,17,23.5,0.22,3.8,11,18.1,0.2,3.7,12,0.0,0.18,4.1,15,6.6,0.23,4.3,5,2,2,0,0,1,2,3,5,2,2,1,0,4,4,3,1,4,2,0,1,4,2,2,0,0,2,7,2,1,0,1,0,5,7,2,2024-11-01,2025-04-30
4301,関　　　　裕　也,B1,169,57,4.9,27.9,5.52,37.8,53.4,5.27,36.3,50.6,11.8,16.1,23.7,11,15,93,0,0,0.16,13,61.5,0.14,2.5,15,40.0,0.12,2.3,22,22.7,0.17,2.6,23,21.7,0.18,3.1,16,6.2,0.17,3.4,4,25.0,0.13,2.3,6,2,3,0,0,1,3,3,5,1,1,2,1,4,5,5,4,3,1,4,5,1,7,5,0,1,4,4,3,4,0,1,0,0,2,1,2024-11-01,2025-04-30
4302,西　野　　翔　太,A1,165,53,6.32,46.8,6.16,45.3,62.6,6.31,47.1,64.3,21.6,25.2,18.0,24,28,111,5,1,0.15,28,82.1,0.16,3.1,23,52.1,0.14,3.3,22,36.3,0.16,2.8,18,33.3,0.16,2.7,18,16.6,0.15,3.4,2,0.0,0.13,3.0,15,8,3,2,0,0,6,6,6,2,2,0,0,8,4,4,4,2,2,4,5,3,1,2,1,2,2,6,5,2,0,0,0,0,1,1,2024-11-01,2025-04-30
4303,牧　原　　　　崇,A2,165,53,5.55,34.8,5.18,30.3,50.7,5.15,29.3,50.7,15.5,19.4,24.0,20,25,129,0,0,0.19,20,75.0,0.18,2.8,23,39.1,0.2,3.7,23,30.4,0.17,3.0,29,41.3,0.17,3.1,14,7.1,0.2,4.2,20,5.0,0.22,4.6,9,6,3,1,0,1,3,6,9,2,3,0,1,6,8,5,0,3,7,5,6,4,5,2,0,1,2,2,6,3,0,1,3,4,9,3,2024-11-01,2025-04-30
4304,藤　崎　　小百合,B1,159,48,5.86,46.0,6.12,44.0,61.7,5.81,40.2,56.4,26.0,20.0,10.0,13,10,50,1,0,0.13,6,83.3,0.13,1.6,10,60.0,0.14,2.5,7,42.8,0.15,3.1,11,54.5,0.12,2.3,7,42.8,0.13,1.6,7,0.0,0.09,1.7,5,0,0,0,1,0,4,2,0,2,1,1,1,2,1,1,1,1,2,4,2,3,0,0,1,2,0,1,2,1,0,0,2,2,0,3,2024-11-01,2025-04-30
4305,金　子　　拓　矢,A1,169,53,6.89,54.6,6.6,48.2,66.3,6.71,49.3,67.1,24.1,30.6,17.6,26,33,108,6,1,0.15,24,95.8,0.13,2.9,21,52.3,0.14,2.9,16,62.5,0.15,3.2,18,50.0,0.17,3.7,12,8.3,0.13,2.9,17,29.4,0.18,4.0,14,9,0,1,0,0,6,5,7,3,0,0,3,7,0,3,2,1,2,7,4,1,2,1,0,1,5,2,3,1,1,4,3,2,4,3,2024-11-01,2025-04-30
