登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
2787,藤　井　　定　美,A2,170,53,5.61,34.0,5.61,34.1,53.3,5.61,34.1,53.3,22.2,11.9,19.3,30,16,135,2,0,0.16,27,77.8,0.15,2.5,22,36.4,0.15,3.0,22,31.8,0.17,2.7,28,28.6,0.15,2.9,25,8.0,0.16,3.0,11,0.0,0.2,4.8,15,6,5,0,1,0,4,4,7,2,4,1,3,4,2,6,3,4,6,2,3,6,8,3,2,0,7,7,8,1,0,0,2,3,3,2,2013-11-01,2014-04-30
2788,難　波　　　　茂,B1,156,54,3.71,13.7,3.71,13.8,25.3,3.71,13.8,25.3,4.6,9.2,11.5,4,8,87,0,0,0.18,14,21.4,0.21,3.9,16,31.3,0.21,3.9,13,15.4,0.19,3.3,17,11.8,0.16,3.1,16,0.0,0.16,2.6,11,0.0,0.14,2.8,1,2,3,5,1,2,1,4,0,2,6,2,1,1,0,3,6,2,1,1,4,6,2,3,0,0,2,6,5,3,0,0,1,2,3,5,2013-11-01,2014-04-30
2789,白　石　　桂　三,B2,170,52,0.0,0.0,,,,,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-01,2014-04-30
2800,砂　川　　　　元,B1,155,49,3.61,16.4,3.61,16.5,26.8,3.61,16.5,26.8,10.3,6.2,10.3,10,6,97,0,0,0.22,13,38.5,0.23,4.7,20,20.0,0.21,4.0,20,5.0,0.25,4.7,20,20.0,0.19,4.5,17,11.8,0.18,3.8,7,0.0,0.22,4.9,3,2,2,2,2,2,2,2,1,3,6,6,0,1,1,2,9,7,3,1,5,3,1,7,2,0,0,5,5,5,0,0,1,1,0,5,2013-11-01,2014-04-30
2803,渥　美　　敏　男,B2,159,55,0.0,0.0,,,,,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-01,2014-04-30
2816,陶　山　　秀　徳,B1,164,51,5.25,31.3,5.25,31.4,51.0,5.25,31.4,51.0,11.8,19.6,19.6,12,20,102,0,0,0.22,18,61.1,0.19,3.6,19,57.9,0.18,2.6,18,16.7,0.2,3.8,21,14.3,0.25,4.8,16,18.8,0.24,4.4,12,8.3,0.28,5.5,6,5,1,3,3,0,5,6,3,2,1,2,0,3,5,4,5,1,0,3,5,5,5,2,1,2,3,5,2,1,0,1,3,4,2,2,2013-11-01,2014-04-30
2820,久　間　　　　繁,B2,164,53,0.0,0.0,,,,,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-01,2014-04-30
2823,平　野　　勇　志,B1,161,54,4.95,29.1,4.95,29.2,44.8,4.95,29.2,44.8,10.4,18.8,15.6,10,18,96,1,1,0.19,19,47.4,0.19,3.5,22,31.8,0.19,3.5,24,25.0,0.22,4.2,19,15.8,0.19,3.7,11,18.2,0.19,3.5,1,100.0,0.05,1.0,3,6,1,5,2,2,2,5,5,4,5,1,1,5,4,5,5,4,2,1,4,6,5,1,2,0,1,3,1,4,0,1,0,0,0,0,2013-11-01,2014-04-30
2837,村　上　　信　二,B1,167,54,4.49,23.9,4.49,23.9,38.0,4.49,23.9,38.0,14.1,9.8,14.1,13,9,92,0,0,0.17,18,44.4,0.17,3.1,19,21.1,0.15,2.6,14,28.6,0.15,2.7,21,14.3,0.16,3.6,13,23.1,0.2,3.5,7,0.0,0.23,4.6,7,1,1,2,1,5,1,3,3,5,6,1,1,3,3,5,0,2,3,0,5,6,5,1,1,2,1,2,2,5,0,0,0,0,4,3,2013-11-01,2014-04-30
2838,松　本　　　　功,B1,162,51,3.1,12.6,3.1,12.7,25.3,3.1,12.7,25.3,3.8,8.9,12.7,3,7,79,0,0,0.2,12,41.7,0.18,3.2,20,15.0,0.22,3.7,14,7.1,0.19,3.6,14,0.0,0.23,3.9,14,7.1,0.19,3.6,5,0.0,0.18,4.0,3,2,1,0,1,4,0,3,3,2,5,7,0,1,5,2,1,5,0,0,0,2,5,7,0,1,1,2,2,8,0,0,0,0,3,2,2013-11-01,2014-04-30
