開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差
2023-11-15,3,2,1-4-2,17.2,20.603587728818116,3.403587728818117
2023-11-15,3,3,1-2-6,12.4,12.45566251890179,0.05566251890178897
2023-11-15,3,4,1-3-2,44.5,34.75494087075578,-9.745059129244218
2023-11-15,3,5,1-3-2,8.3,8.933983778225112,0.6339837782251116
2023-11-15,3,6,1-3-4,4.0,11.769583703705539,7.769583703705539
2023-11-15,3,9,1-6-2,36.2,30.271824823131777,-5.928175176868226
2023-11-15,3,11,1-5-4,38.0,29.88038072032,-8.119619279679998
2023-11-16,4,1,1-2-3,12.0,11.222516577076991,-0.7774834229230088
2023-11-16,4,3,1-3-4,17.9,25.544290750329562,7.644290750329564
2023-11-16,4,5,1-2-3,10.8,17.20396825850783,6.403968258507831
2023-11-16,4,6,1-3-5,8.3,16.44879980413516,8.148799804135159
2023-11-16,4,8,1-2-3,11.7,7.169589101884059,-4.5304108981159406
2023-11-16,4,10,1-4-2,10.4,12.126863310855528,1.7268633108555278
2023-11-16,4,11,1-2-4,8.2,5.495130387839532,-2.7048696121604676
2023-11-16,4,12,1-3-6,70.7,28.404547348403167,-42.29545265159683
2023-11-17,5,2,1-3-6,8.7,14.510231784066077,5.810231784066078
2023-11-17,5,4,1-6-2,29.9,22.759911572229747,-7.140088427770252
2023-11-17,5,7,1-3-2,7.7,8.28571947485068,0.5857194748506798
2023-11-17,5,8,1-3-4,14.1,16.13239129267042,2.03239129267042
2023-11-17,5,12,1-2-6,9.8,16.369180836773193,6.569180836773192
2023-11-19,6,1,1-2-3,6.2,10.356916711171497,4.156916711171497
2023-11-19,6,2,1-3-4,12.0,20.11247811669494,8.112478116694941
2023-11-19,6,3,1-6-3,35.8,67.76913101844484,31.96913101844484
2023-11-19,6,5,1-2-6,10.1,25.065354454427496,14.965354454427496
2023-11-19,6,7,1-2-6,4.9,11.621549249889362,6.721549249889362
2023-11-19,6,8,1-4-2,8.5,7.863375029971696,-0.6366249700283042
2023-11-19,6,9,1-2-3,8.1,13.305132776544932,5.205132776544932
2023-11-19,6,11,1-2-3,6.6,6.639516105871896,0.03951610587189602
2023-11-19,6,12,1-4-2,18.1,14.170662663531019,-3.9293373364689828
2023-11-21,1,3,1-3-4,34.8,21.349738752081084,-13.450261247918913
2023-11-21,1,4,1-6-2,80.8,60.2932764109795,-20.506723589020496
2023-11-21,1,6,1-3-4,5.8,8.979013259597401,3.1790132595974017
2023-11-21,1,7,1-5-3,38.8,52.59204057049796,13.79204057049796
2023-11-21,1,12,1-5-2,21.5,23.666545775983135,2.166545775983135
2023-11-22,2,1,1-3-2,15.1,9.140915886128015,-5.959084113871985
2023-11-22,2,2,1-5-3,30.8,26.885790065933342,-3.9142099340666583
2023-11-22,2,6,1-3-4,26.4,23.707980260046533,-2.6920197399534658
2023-11-22,2,7,1-4-2,5.2,9.657283711093013,4.457283711093013
2023-11-22,2,9,1-2-3,6.3,14.935340708150623,8.635340708150622
2023-11-22,2,11,1-2-3,12.8,7.593497064291322,-5.206502935708679
2023-11-22,2,12,1-4-6,32.4,29.286647250006187,-3.113352749993812
2023-11-23,3,1,1-3-5,10.7,20.91458515210238,10.21458515210238
2023-11-23,3,4,1-4-3,77.6,45.71359946666973,-31.886400533330267
2023-11-23,3,8,1-2-4,7.8,6.388199718007179,-1.4118002819928206
2023-11-24,4,2,1-2-3,28.8,21.631286007334104,-7.1687139926658965
2023-11-24,4,3,1-3-4,24.6,24.977330694860466,0.3773306948604649
2023-11-24,4,4,1-3-6,15.1,42.83423722960051,27.73423722960051
2023-11-25,5,3,1-2-3,9.4,13.276132545281031,3.876132545281031
2023-11-25,5,4,1-3-2,7.2,8.28807140554446,1.0880714055444605
2023-11-25,5,7,1-4-3,8.7,34.69087077426198,25.990870774261982
2023-11-25,5,8,1-2-3,5.5,7.003860664241697,1.5038606642416967
2023-11-25,5,9,1-4-3,8.1,11.637069531906317,3.537069531906317
2023-11-25,5,10,1-2-4,10.9,10.959618311292306,0.0596183112923061
2023-11-26,6,1,1-2-6,46.2,30.53187211478746,-15.668127885212542
