開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-01-25,1,11,2025-01-25,1,0.8165862573484031,1,1,True
2025-01-25,1,12,2025-01-25,6,0.6913117283442325,1,0,False
2025-01-26,2,1,2025-01-26,1,0.4489111730607396,0,1,False
2025-01-26,2,2,2025-01-26,1,0.7486316388100516,1,1,True
2025-01-26,2,3,2025-01-26,6,0.10179253424958863,0,0,True
2025-01-26,2,4,2025-01-26,4,0.4108462283548891,0,0,True
2025-01-26,2,5,2025-01-26,1,0.16036380806462344,0,1,False
2025-01-26,2,6,2025-01-26,1,0.33837453254629735,0,1,False
2025-01-26,2,7,2025-01-26,1,0.6412684429848189,1,1,True
2025-01-26,2,8,2025-01-26,1,0.8380364360638836,1,1,True
2025-01-26,2,9,2025-01-26,5,0.6185680405921496,1,0,False
2025-01-26,2,10,2025-01-26,1,0.8413192699484586,1,1,True
2025-01-26,2,11,2025-01-26,1,0.7935975421199963,1,1,True
2025-01-26,2,12,2025-01-26,1,0.8505147472408325,1,1,True
2025-01-27,3,1,2025-01-27,4,0.3646154402187104,0,0,True
2025-01-27,3,3,2025-01-27,5,0.03567019298616424,0,0,True
2025-01-27,3,4,2025-01-27,4,0.4036536990124403,0,0,True
2025-01-27,3,5,2025-01-27,4,0.5112785371040037,1,0,False
2025-01-27,3,6,2025-01-27,1,0.5114334595641272,1,1,True
2025-01-27,3,7,2025-01-27,3,0.5232295943855588,1,0,False
2025-01-27,3,8,2025-01-27,1,0.5134279511344555,1,1,True
2025-01-27,3,9,2025-01-27,2,0.3380665913216667,0,0,True
2025-01-27,3,10,2025-01-27,1,0.7761513735839959,1,1,True
2025-01-27,3,11,2025-01-27,4,0.5131850478860943,1,0,False
2025-01-27,3,12,2025-01-27,1,0.8227360722085202,1,1,True
2025-01-28,4,1,2025-01-28,1,0.40185359585950564,0,1,False
2025-01-28,4,2,2025-01-28,1,0.5052193148535566,1,1,True
2025-01-28,4,3,2025-01-28,1,0.1593906173402611,0,1,False
2025-01-28,4,4,2025-01-28,5,0.17963911539739758,0,0,True
2025-01-28,4,5,2025-01-28,1,0.6241095234182424,1,1,True
2025-01-28,4,6,2025-01-28,1,0.6320620647398725,1,1,True
2025-01-28,4,8,2025-01-28,1,0.804159382439343,1,1,True
2025-01-28,4,9,2025-01-28,3,0.5236074300382526,1,0,False
2025-01-28,4,10,2025-01-28,4,0.41054183149324164,0,0,True
2025-01-28,4,12,2025-01-28,3,0.8383523856476903,1,0,False
2025-01-29,5,1,2025-01-29,2,0.4890642651079659,0,0,True
2025-01-29,5,2,2025-01-29,3,0.5903407840985958,1,0,False
2025-01-29,5,3,2025-01-29,3,0.176668104159483,0,0,True
2025-01-29,5,4,2025-01-29,6,0.6618574475996662,1,0,False
2025-01-29,5,5,2025-01-29,1,0.5007545388851398,1,1,True
2025-01-29,5,6,2025-01-29,1,0.6555222063873396,1,1,True
2025-01-29,5,7,2025-01-29,1,0.42066542096571874,0,1,False
2025-01-29,5,10,2025-01-29,1,0.8170654756714554,1,1,True
2025-01-29,5,11,2025-01-29,2,0.8096471818770438,1,0,False
2025-01-29,5,12,2025-01-29,3,0.5269395810687815,1,0,False
2025-01-30,6,1,2025-01-30,1,0.6364991724344533,1,1,True
2025-01-30,6,2,2025-01-30,2,0.398645144999137,0,0,True
2025-01-30,6,3,2025-01-30,3,0.3716411576988278,0,0,True
2025-01-30,6,4,2025-01-30,2,0.49305448200246116,0,0,True
2025-01-30,6,5,2025-01-30,5,0.6456839936583342,1,0,False
2025-01-30,6,6,2025-01-30,1,0.85950434941344,1,1,True
2025-01-30,6,7,2025-01-30,1,0.5359739664370625,1,1,True
2025-01-30,6,8,2025-01-30,1,0.7231409913832535,1,1,True
2025-01-30,6,9,2025-01-30,1,0.4547781272556184,0,1,False
