開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,3,3-4-2,0.004402161974099809,42
2025-01-01,3,3,5-4-6,0.004386229799466285,43
2025-01-01,3,3,2-3-4,0.004366178648179828,44
2025-01-01,3,3,3-4-1,0.0042148787441389345,45
2025-01-01,3,3,5-3-2,0.004147248256385585,46
2025-01-01,3,3,1-3-4,0.004095579396235538,47
2025-01-01,3,3,5-3-1,0.003970809939605037,48
2025-01-01,3,3,3-2-4,0.003703184592785071,49
2025-01-01,3,3,2-3-5,0.0035256448298733984,50
2025-01-01,3,3,3-1-4,0.003508437583927828,51
2025-01-01,3,3,1-3-5,0.0033071386874408814,52
2025-01-01,3,3,3-5-2,0.003251134947405665,53
2025-01-01,3,3,4-2-6,0.0031631598636873365,54
2025-01-01,3,3,3-5-1,0.0031128203970617226,55
2025-01-01,3,3,2-1-3,0.003110681509519443,56
2025-01-01,3,3,4-6-5,0.0031068898079370756,57
2025-01-01,3,3,1-2-3,0.003079860187733474,58
2025-01-01,3,3,3-2-5,0.0029902838765111786,59
2025-01-01,3,3,4-1-6,0.0029800888878594514,60
2025-01-01,3,3,3-1-5,0.002833027648528597,61
2025-01-01,3,3,2-4-6,0.002689134968753907,62
2025-01-01,3,3,5-6-4,0.0026227597264699342,63
2025-01-01,3,3,2-3-1,0.0025535901240416365,64
2025-01-01,3,3,1-4-6,0.002508396182008343,65
2025-01-01,3,3,1-3-2,0.002501761881177744,66
2025-01-01,3,3,4-6-2,0.002350278964723811,67
2025-01-01,3,3,4-6-1,0.002250289950595682,68
2025-01-01,3,3,6-4-5,0.0021780699527337586,69
2025-01-01,3,3,3-2-1,0.00216583341306506,70
2025-01-01,3,3,3-1-2,0.0021431095727333814,71
2025-01-01,3,3,5-2-6,0.0020965936933256954,72
2025-01-01,3,3,6-5-4,0.001999006124657596,73
2025-01-01,3,3,5-1-6,0.0019786602771173388,74
2025-01-01,3,3,2-5-6,0.0019378286787609493,75
2025-01-01,3,3,1-5-6,0.0018107053849155137,76
2025-01-01,3,3,2-6-4,0.0016917362659737336,77
2025-01-01,3,3,6-4-2,0.0016476516098284538,78
2025-01-01,3,3,5-6-2,0.0016020981825432777,79
2025-01-01,3,3,1-6-4,0.0015874621415738954,80
2025-01-01,3,3,6-4-1,0.0015775547989536087,81
2025-01-01,3,3,5-6-1,0.0015339393723708035,82
2025-01-01,3,3,6-2-4,0.0013950416501788134,83
2025-01-01,3,3,2-6-5,0.0013660598203250537,84
2025-01-01,3,3,6-1-4,0.0013221551995952143,85
2025-01-01,3,3,1-6-5,0.0012818595259250242,86
2025-01-01,3,3,2-1-6,0.001248241816424376,87
2025-01-01,3,3,1-2-6,0.0012358739598717257,88
2025-01-01,3,3,6-5-2,0.001221081766234574,89
2025-01-01,3,3,6-5-1,0.0011691327151609804,90
2025-01-01,3,3,6-2-5,0.0011264819371194028,91
2025-01-01,3,3,6-1-5,0.0010676268699372534,92
2025-01-01,3,3,2-6-1,0.0009894237889405927,93
2025-01-01,3,3,1-6-2,0.0009696924145220406,94
2025-01-01,3,3,6-2-1,0.000815899867498194,95
2025-01-01,3,3,6-1-2,0.0008076311455196195,96
2025-01-01,3,3,4-3-6,0.0005852528931968632,97
2025-01-01,3,3,4-6-3,0.000561460364515322,98
2025-01-01,3,3,3-4-6,0.00042199653743235454,99
2025-01-01,3,3,5-3-6,0.00039756020209251073,100
2025-01-01,3,3,6-4-3,0.00039360905123756286,101
2025-01-01,3,3,5-6-3,0.000382726749914042,102
2025-01-01,3,3,3-5-6,0.00031165770332906975,103
2025-01-01,3,3,6-5-3,0.0002917053778991052,104
2025-01-01,3,3,3-6-4,0.000289708595801942,105
2025-01-01,3,3,6-3-4,0.00028167093560656773,106
2025-01-01,3,3,2-3-6,0.00025566718659831184,107
2025-01-01,3,3,2-6-3,0.00024686696087838016,108
2025-01-01,3,3,1-3-6,0.00023982190059082208,109
2025-01-01,3,3,3-6-5,0.00023393674314833727,110
2025-01-01,3,3,1-6-3,0.00023165073793240837,111
2025-01-01,3,3,6-3-5,0.00022744641432866932,112
2025-01-01,3,3,3-2-6,0.00021684471996725763,113
