開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2024-08-21,6,7,2-1-3,30.1,23.27917758881471,-6.82082241118529
2024-08-21,6,9,2-1-5,215.2,28.094313223318256,-187.10568677668172
2024-08-21,6,10,1-2-5,7.2,12.058924954671955,4.858924954671955
2024-08-21,6,11,1-2-3,6.8,8.390919602864209,1.5909196028642087
2024-08-21,6,12,1-4-2,11.3,13.159083680852254,1.8590836808522528
2024-08-27,1,1,1-3-6,18.6,24.68592627406045,6.085926274060448
2024-08-27,1,2,2-1-3,17.1,35.68859893557544,18.58859893557544
2024-08-27,1,3,1-2-5,23.7,24.767085489157445,1.0670854891574457
2024-08-27,1,4,5-4-2,128.1,84.73403113647572,-43.36596886352427
2024-08-27,1,5,4-1-6,112.8,55.5362377576109,-57.2637622423891
2024-08-27,1,6,5-1-4,126.9,61.208832143923104,-65.6911678560769
2024-08-27,1,7,2-1-4,35.8,26.770008609700117,-9.02999139029988
2024-08-27,1,8,1-2-3,22.3,7.690308769441993,-14.609691230558008
2024-08-27,1,9,1-4-2,37.6,15.198303829274417,-22.401696170725586
2024-08-27,1,10,3-5-6,389.0,157.81287252158546,-231.18712747841454
2024-08-27,1,11,1-3-4,21.3,13.335584628002527,-7.9644153719974735
2024-08-27,1,12,1-4-6,33.5,25.72625916556624,-7.7737408344337595
2024-08-28,2,1,4-1-2,53.6,61.89990291530999,8.299902915309985
2024-08-28,2,2,2-1-6,53.0,44.21934138061254,-8.78065861938746
2024-08-28,2,3,2-1-6,27.8,67.71963954324781,39.91963954324781
2024-08-28,2,4,3-2-1,91.8,64.20616014437007,-27.593839855629923
2024-08-28,2,6,6-2-4,151.3,118.21900926790313,-33.08099073209688
2024-08-28,2,7,1-6-4,141.2,32.179943084202215,-109.02005691579777
2024-08-28,2,8,3-2-6,275.2,180.6203110929806,-94.5796889070194
2024-08-28,2,9,1-3-4,13.1,11.165566168303748,-1.9344338316962517
2024-08-28,2,10,1-2-4,14.4,9.75151604366746,-4.648483956332541
2024-08-28,2,11,2-1-5,13.4,41.88919268238868,28.489192682388683
2024-08-28,2,12,4-1-6,61.5,77.15073372957555,15.650733729575549
2024-08-29,3,1,2-4-5,86.2,82.74419675424424,-3.45580324575576
2024-08-29,3,2,1-4-6,23.2,31.27392464961622,8.07392464961622
2024-08-29,3,3,6-1-2,314.4,66.00772724534599,-248.392272754654
2024-08-29,3,4,1-3-6,25.4,23.337034719270186,-2.062965280729813
