開催日,日目,レース,実際3連単,予測3連単,予測確率,的中組み合わせ予測確率,的中組み合わせ予測順位,確率合計,NDCG@1,NDCG@3
2024-03-23,5,1,3-1-5,1-5-3,0.059871715979045476,0.039170053711747393,7,1.0000000000000002,0.49206349206349204,0.7990771411082037
2024-03-23,5,2,1-2-3,2-6-1,0.0818284484310605,0.03177154682035083,10,1.0000000000000002,0.49206349206349204,0.715008119946318
2024-03-23,5,3,1-3-5,2-5-4,0.06218040972489925,0.003328160821162063,54,0.9999999999999996,0.047619047619047616,0.17726132637656544
2024-03-23,5,4,5-1-3,6-5-4,0.05383566284087438,0.005940696758523837,40,0.9999999999999998,0.047619047619047616,0.5135374110241091
2024-03-23,5,5,1-5-6,5-6-1,0.04573371844898241,0.034290509316276634,9,1.0,0.49206349206349204,0.7990771411082037
2024-03-23,5,6,1-2-3,1-4-3,0.05862033438632866,0.01580953186338712,22,1.0,1.0,0.8318619576762281
2024-03-23,5,7,1-6-5,6-4-5,0.040109616468178635,0.0139636722012327,28,1.0000000000000002,0.49206349206349204,0.4485156279184728
2024-03-23,5,8,1-4-5,1-4-2,0.0667917007270693,0.04850472943427212,4,0.9999999999999999,1.0,0.9333768769930387
2024-03-23,5,9,1-5-2,5-1-3,0.03274775669084294,0.02407586194773401,8,0.9999999999999992,0.49206349206349204,0.8022376107209411
2024-03-23,5,10,2-1-3,2-1-5,0.04816979922092734,0.02787241186028045,6,0.9999999999999994,1.0,0.9222730231585452
2024-03-23,5,11,1-3-4,1-4-3,0.04220443635491881,0.03547623119665849,3,0.9999999999999999,1.0,0.9767388024601004
2024-03-23,5,12,1-3-4,1-3-4,0.029926349936123992,0.029926349936123992,1,0.9999999999999999,1.0,1.0
2024-03-24,6,1,1-2-5,1-5-2,0.05252240694105571,0.05246584983594332,2,0.9999999999999994,1.0,0.9767388024601004
2024-03-24,6,2,1-3-2,2-1-4,0.05505288670057176,0.03498361274356056,12,0.9999999999999998,0.23809523809523808,0.6467836570380316
2024-03-24,6,3,1-2-6,1-3-4,0.06038024858562181,0.009404656263669563,34,1.0,1.0,0.7232043240883238
2024-03-24,6,4,1-4-2,1-4-6,0.036917501843599536,0.036118481033891016,2,1.0,1.0,0.9555845846620258
2024-03-24,6,5,5-2-3,2-1-3,0.08675266949978673,0.0060931549664619,39,1.0,0.49206349206349204,0.4765386349724348
2024-03-24,6,6,1-3-4,1-4-2,0.10280107978521617,0.04641477630056721,7,1.0,1.0,0.8434925564461779
2024-03-24,6,7,1-2-4,1-2-3,0.0795966755149841,0.0548992052329643,4,1.0000000000000002,1.0,0.9555845846620258
2024-03-24,6,8,1-4-3,1-4-3,0.09236481574571026,0.09236481574571026,1,1.0,1.0,1.0
2024-03-24,6,9,1-4-5,1-2-6,0.04128089676544325,0.010100996951707774,33,1.0000000000000002,1.0,0.7652388346692668
2024-03-24,6,10,1-4-2,2-6-4,0.046891576321917997,0.009940038333501783,33,0.9999999999999999,0.23809523809523808,0.3877078042964865
2024-03-24,6,11,5-1-4,5-1-2,0.10436960093107842,0.0160932196707869,13,0.9999999999999999,1.0,0.9333768769930387
2024-03-24,6,12,1-2-3,1-6-3,0.048868154971871615,0.013264217490139407,23,1.0000000000000004,1.0,0.8038389506222661
2024-04-29,1,1,6-5-4,6-1-3,0.05617916418006631,0.0019358184622129992,75,0.9999999999999996,1.0,0.7232043240883238
2024-04-29,1,2,3-1-4,4-6-1,0.035772464217125766,0.0068357076601451355,56,0.9999999999999999,0.23809523809523808,0.3596847972425245
2024-04-29,1,3,2-4-6,5-3-6,0.060954745031035894,0.000529584701578062,103,1.0000000000000002,0.015873015873015872,0.1154000128836666
2024-04-29,1,4,1-4-2,3-6-1,0.04534245161174834,0.006244633340356462,50,1.0000000000000002,0.1111111111111111,0.4485156279184728
2024-04-29,1,5,4-1-5,6-5-2,0.0387469212071987,0.0038908858675912937,77,1.0,0.1111111111111111,0.18836518021105897
2024-04-29,1,6,3-1-4,3-4-5,0.03460205090685053,0.03119359363892551,4,0.9999999999999997,1.0,0.8212848487771908
2024-04-29,1,7,1-3-4,1-4-6,0.04670725262063146,0.016118708386364908,16,1.0000000000000004,1.0,0.8212848487771908
2024-04-29,1,8,1-2-4,1-4-2,0.07608205427488333,0.07482579425088418,2,1.0000000000000004,1.0,0.9767388024601004
2024-04-29,1,10,3-1-4,1-5-4,0.06796676556788063,0.01051209556258541,30,0.9999999999999992,0.49206349206349204,0.4485156279184728
2024-04-29,1,11,3-4-5,1-6-2,0.046817377864650615,0.0006411487570359806,119,0.9999999999999993,0.1111111111111111,0.10429615904917305
2024-04-29,1,12,3-1-5,1-6-5,0.035004309630673844,0.008209140914262428,43,0.9999999999999999,0.49206349206349204,0.43450412439149183
2024-04-30,2,1,2-1-5,2-3-5,0.05688899699263167,0.010569758798579814,26,0.9999999999999999,1.0,0.8318619576762281
2024-04-30,2,2,1-4-3,4-3-1,0.04276174369317721,0.023980677478053204,11,0.9999999999999997,0.49206349206349204,0.7990771411082037
