開催日,日目,レース,3連単,予測確率,予測順位
2024-01-01,3,2,5-6-3,0.0027292822892647584,71
2024-01-01,3,2,3-4-2,0.0026952108778506086,72
2024-01-01,3,2,4-3-2,0.0026821559291463504,73
2024-01-01,3,2,3-5-1,0.002681521003423488,74
2024-01-01,3,2,5-3-6,0.002648616672114822,75
2024-01-01,3,2,5-6-4,0.0025592064764089375,76
2024-01-01,3,2,4-5-1,0.002486434321093961,77
2024-01-01,3,2,5-4-6,0.0024678776555085483,78
2024-01-01,3,2,1-3-5,0.0024395714080749664,79
2024-01-01,3,2,6-5-3,0.002355992920541169,80
2024-01-01,3,2,3-1-5,0.00233522316299206,81
2024-01-01,3,2,1-4-5,0.002274953467441623,82
2024-01-01,3,2,3-5-6,0.0022346257188957438,83
2024-01-01,3,2,6-5-4,0.0022091787149825562,84
2024-01-01,3,2,4-1-5,0.002167098464385201,85
2024-01-01,3,2,4-5-6,0.002072051673348073,86
2024-01-01,3,2,6-3-5,0.0019464887225317164,87
2024-01-01,3,2,5-3-4,0.0019257048745583332,88
2024-01-01,3,2,5-4-3,0.0019135392642480374,89
2024-01-01,3,2,3-6-5,0.0019024447462452853,90
2024-01-01,3,2,6-4-5,0.0018153670521041097,91
2024-01-01,3,2,4-6-5,0.0017656957870161838,92
2024-01-01,3,2,3-5-4,0.0016247083562511086,93
2024-01-01,3,2,4-5-3,0.0016066243096177068,94
2024-01-01,3,2,3-4-5,0.001342156623363651,95
2024-01-01,3,2,4-3-5,0.0013356555417543834,96
2024-01-01,3,2,1-6-3,0.001076068564986719,97
2024-01-01,3,2,6-1-3,0.0010538884363492159,98
2024-01-01,3,2,1-3-6,0.0010483719218569287,99
2024-01-01,3,2,1-6-4,0.001009013120924165,100
2024-01-01,3,2,6-3-1,0.0010037606081696525,101
2024-01-01,3,2,3-1-6,0.0010035297131485198,102
2024-01-01,3,2,6-1-4,0.000988215151773098,103
2024-01-01,3,2,3-6-1,0.0009810481167425373,104
2024-01-01,3,2,1-4-6,0.0009776296487581922,105
2024-01-01,3,2,6-4-1,0.0009361441015189233,106
2024-01-01,3,2,4-1-6,0.0009312804595268879,107
2024-01-01,3,2,4-6-1,0.0009105297433795326,108
2024-01-01,3,2,1-3-4,0.0007622299374329602,109
2024-01-01,3,2,1-4-3,0.000758033006464545,110
2024-01-01,3,2,3-1-4,0.000729626933455493,111
2024-01-01,3,2,4-1-3,0.0007220948418386789,112
2024-01-01,3,2,3-4-1,0.0006921200893340772,113
2024-01-01,3,2,4-3-1,0.0006887676272548767,114
2024-01-01,3,2,6-3-4,0.0006081691121146802,115
2024-01-01,3,2,6-4-3,0.0006048950732564683,116
2024-01-01,3,2,3-6-4,0.0005944078271701267,117
2024-01-01,3,2,4-6-3,0.000588344203558091,118
2024-01-01,3,2,3-4-6,0.0005767731635201711,119
2024-01-01,3,2,4-3-6,0.0005739794140122463,120
2024-01-01,3,3,4-2-5,0.06165115470925474,1
2024-01-01,3,3,2-4-5,0.057493564812838974,2
2024-01-01,3,3,4-5-2,0.052680046710644225,3
2024-01-01,3,3,5-4-2,0.04483139699256837,4
2024-01-01,3,3,2-5-4,0.04456390566612529,5
2024-01-01,3,3,4-2-1,0.04443825632994477,6
2024-01-01,3,3,2-4-1,0.041441458518078685,7
2024-01-01,3,3,5-2-4,0.04066692594616822,8
2024-01-01,3,3,4-1-2,0.034019592982363143,9
2024-01-01,3,3,2-1-4,0.029059333521282742,10
2024-01-01,3,3,4-5-1,0.0281334909273014,11
2024-01-01,3,3,1-4-2,0.02706175467248215,12
2024-01-01,3,3,4-1-5,0.025205237390398944,13
2024-01-01,3,3,1-2-4,0.024787599281959075,14
2024-01-01,3,3,5-4-1,0.0239419624564195,15
2024-01-01,3,3,2-5-1,0.020128870027184022,16
2024-01-01,3,3,1-4-5,0.02005015024942456,17
2024-01-01,3,3,5-2-1,0.018368660792623722,18
2024-01-01,3,3,2-1-5,0.018209834735967805,19
2024-01-01,3,3,5-1-4,0.0175515386046008,20
2024-01-01,3,3,1-5-4,0.01640612107228482,21
2024-01-01,3,3,1-2-5,0.015532981377404427,22
2024-01-01,3,3,5-1-2,0.014844783554365781,23
2024-01-01,3,3,4-2-3,0.014475645529989232,24
2024-01-01,3,3,1-5-2,0.013876009492463917,25
2024-01-01,3,3,2-4-3,0.013499446497166499,26
2024-01-01,3,3,4-3-2,0.009381966770741455,27
2024-01-01,3,3,4-5-3,0.009164410933701668,28
2024-01-01,3,3,2-3-4,0.008118671157992,29
2024-01-01,3,3,5-4-3,0.007799031520008106,30
2024-01-01,3,3,4-3-5,0.006951132536123199,31
2024-01-01,3,3,3-4-2,0.006701807059978567,32
2024-01-01,3,3,2-5-3,0.006556926655027078,33
2024-01-01,3,3,3-2-4,0.00621877664752022,34
2024-01-01,3,3,4-2-6,0.00603708627375934,35
2024-01-01,3,3,5-2-3,0.00598354311025152,36
2024-01-01,3,3,4-1-3,0.00591817109806501,37
2024-01-01,3,3,2-4-6,0.005629961232647917,38
2024-01-01,3,3,2-3-5,0.005087510350312284,39
2024-01-01,3,3,4-3-1,0.005010388059727484,40
2024-01-01,3,3,5-3-4,0.004979194797679208,41
2024-01-01,3,3,3-4-5,0.004965392677654471,42
2024-01-01,3,3,1-4-3,0.004707760449945409,43
2024-01-01,3,3,2-1-3,0.004275655728439827,44
2024-01-01,3,3,5-3-2,0.004211315640851939,45
2024-01-01,3,3,3-5-4,0.004179468214423545,46
2024-01-01,3,3,3-2-5,0.003896954309991358,47
2024-01-01,3,3,4-5-6,0.003822029168945912,48
2024-01-01,3,3,4-6-2,0.0037507297838336117,49
2024-01-01,3,3,2-3-1,0.0036670860439615826,50
2024-01-01,3,3,1-2-3,0.0036471325395869207,51
2024-01-01,3,3,3-4-1,0.003579063419477477,52
2024-01-01,3,3,3-5-2,0.0035349209213604614,53
2024-01-01,3,3,2-6-4,0.0032554048578528018,54
2024-01-01,3,3,5-4-6,0.003252595957846199,55
2024-01-01,3,3,1-3-4,0.003123144336360757,56
2024-01-01,3,3,3-2-1,0.0028089312414367983,57
2024-01-01,3,3,3-1-4,0.0028045503840833617,58
2024-01-01,3,3,4-6-5,0.0027789290318016874,59
2024-01-01,3,3,2-5-6,0.0027345745531764313,60
2024-01-01,3,3,1-3-2,0.002641500709810465,61
2024-01-01,3,3,6-4-2,0.0026044285312569523,62
2024-01-01,3,3,5-1-3,0.002582452089712674,63
2024-01-01,3,3,5-2-6,0.0024954442207437495,64
2024-01-01,3,3,4-1-6,0.002468180740393834,65
2024-01-01,3,3,6-2-4,0.002423949972920328,66
2024-01-01,3,3,1-5-3,0.0024139206597018855,67
2024-01-01,3,3,3-1-2,0.002372039532085104,68
2024-01-01,3,3,5-3-1,0.0022490300933991265,69
2024-01-01,3,3,2-6-5,0.0020399774281385356,70
2024-01-01,3,3,5-6-4,0.0020037197490569655,71
2024-01-01,3,3,4-6-1,0.0020030567346274028,72
2024-01-01,3,3,1-4-6,0.0019633774489457028,73
2024-01-01,3,3,1-3-5,0.0019570972672188383,74
2024-01-01,3,3,6-4-5,0.0019296303583259257,75
2024-01-01,3,3,3-5-1,0.0018878051915190925,76
2024-01-01,3,3,2-1-6,0.0017831676284148256,77
2024-01-01,3,3,3-1-5,0.0017574525226275286,78
2024-01-01,3,3,5-6-2,0.001694711024967449,79
2024-01-01,3,3,6-5-4,0.0016349238344194488,80
2024-01-01,3,3,1-2-6,0.0015210412376917065,81
2024-01-01,3,3,6-2-5,0.00151895185011058,82
2024-01-01,3,3,2-6-1,0.0014704191719755962,83
2024-01-01,3,3,6-4-1,0.001390880817881233,84
2024-01-01,3,3,6-5-2,0.001382789907858479,85
2024-01-01,3,3,1-6-4,0.0012598631234848777,86
2024-01-01,3,3,6-1-4,0.00109974802853044,87
2024-01-01,3,3,6-2-1,0.001094863056278249,88
2024-01-01,3,3,5-1-6,0.0010770149097079408,89
2024-01-01,3,3,1-6-2,0.0010655701359057912,90
2024-01-01,3,3,1-5-6,0.0010067286637020314,91
2024-01-01,3,3,6-1-2,0.0009301475964959244,92
2024-01-01,3,3,5-6-1,0.0009050511573613662,93
2024-01-01,3,3,1-6-5,0.0007894847021111969,94
2024-01-01,3,3,6-5-1,0.000738471390140966,95
2024-01-01,3,3,6-1-5,0.0006891496611950418,96
2024-01-01,3,3,4-3-6,0.0006806780346420961,97
2024-01-01,3,3,4-6-3,0.000652490481436494,98
2024-01-01,3,3,2-3-6,0.0004981859471785091,99
2024-01-01,3,3,3-4-6,0.00048622777820563735,100
2024-01-01,3,3,2-6-3,0.0004789851914076094,101
2024-01-01,3,3,6-4-3,0.0004530757810257057,102
2024-01-01,3,3,3-2-6,0.00038160273696843667,103
2024-01-01,3,3,6-2-3,0.0003566487710249067,104
2024-01-01,3,3,3-6-4,0.0003301491079791801,105
2024-01-01,3,3,6-3-4,0.00032092885391061,106
2024-01-01,3,3,5-3-6,0.00030553828677076783,107
2024-01-01,3,3,5-6-3,0.0002948180424361381,108
2024-01-01,3,3,3-6-2,0.00027923432577775054,109
2024-01-01,3,3,6-3-2,0.00027143599658008657,110
2024-01-01,3,3,3-5-6,0.0002564646714450801,111
2024-01-01,3,3,6-5-3,0.00024055511985774386,112
2024-01-01,3,3,3-6-5,0.00020688570472977177,113
2024-01-01,3,3,6-3-5,0.00020110789490184405,114
2024-01-01,3,3,1-3-6,0.00019164547856498034,115
2024-01-01,3,3,1-6-3,0.0001853704241713947,116
2024-01-01,3,3,3-1-6,0.00017209560066108024,117
2024-01-01,3,3,6-1-3,0.0001618118307697175,118
2024-01-01,3,3,3-6-1,0.0001491235650190144,119
2024-01-01,3,3,6-3-1,0.00014495890994694024,120
2024-01-01,3,4,2-3-6,0.04360650979360536,1
2024-01-01,3,4,2-6-3,0.04303042837343785,2
2024-01-01,3,4,3-2-6,0.04259779723306451,3
2024-01-01,3,4,6-2-3,0.04167292678883054,4
2024-01-01,3,4,3-6-2,0.040606948936322586,5
2024-01-01,3,4,6-3-2,0.040257136354829394,6
2024-01-01,3,4,2-3-5,0.028950427792332763,7
2024-01-01,3,4,3-2-5,0.028280741998047084,8
2024-01-01,3,4,2-6-5,0.027810695080920975,9
2024-01-01,3,4,6-2-5,0.02693333773012394,10
2024-01-01,3,4,2-5-3,0.024562667604327005,11
2024-01-01,3,4,3-6-5,0.024514501632682772,12
2024-01-01,3,4,6-3-5,0.024303319031557157,13
2024-01-01,3,4,2-5-6,0.02391156752170425,14
2024-01-01,3,4,3-5-2,0.023290231382755506,15
2024-01-01,3,4,6-5-2,0.022232423485657016,16
2024-01-01,3,4,5-2-3,0.021501491584094357,17
2024-01-01,3,4,3-5-6,0.021178385761608364,18
2024-01-01,3,4,5-2-6,0.02093153626928767,19
2024-01-01,3,4,5-3-2,0.020870413141595965,20
2024-01-01,3,4,6-5-3,0.020766979863006265,21
2024-01-01,3,4,5-6-2,0.020095625569459437,22
2024-01-01,3,4,5-3-6,0.018977984943684408,23
2024-01-01,3,4,5-6-3,0.018771028349865253,24
2024-01-01,3,4,2-3-1,0.008106995115200778,25
2024-01-01,3,4,2-3-4,0.008027737209458489,26
2024-01-01,3,4,3-2-1,0.007919462844453775,27
2024-01-01,3,4,3-2-4,0.007842038344902965,28
2024-01-01,3,4,2-6-1,0.007787835495511257,29
2024-01-01,3,4,2-6-4,0.007711697848594173,30
2024-01-01,3,4,6-2-1,0.007542148909868443,31
2024-01-01,3,4,6-2-4,0.007468413213855525,32
2024-01-01,3,4,3-6-1,0.006864801667641499,33
2024-01-01,3,4,6-3-1,0.006805664154095181,34
2024-01-01,3,4,3-6-4,0.006797688045913362,35
2024-01-01,3,4,6-3-4,0.006739128689305329,36
2024-01-01,3,4,2-1-3,0.00573481533047347,37
2024-01-01,3,4,2-4-3,0.005675161455523927,38
2024-01-01,3,4,2-1-6,0.005582798505768333,39
2024-01-01,3,4,2-4-6,0.005524725918467759,40
2024-01-01,3,4,3-1-2,0.005464393484127062,41
2024-01-01,3,4,3-4-2,0.005407636562461993,42
2024-01-01,3,4,6-1-2,0.005225449092568321,43
2024-01-01,3,4,6-4-2,0.005171203177444572,44
2024-01-01,3,4,3-1-6,0.004968908692154446,45
2024-01-01,3,4,3-4-6,0.004917298213842314,46
2024-01-01,3,4,6-1-3,0.004881015160157372,47
2024-01-01,3,4,6-4-3,0.004830344848495127,48
2024-01-01,3,4,2-5-1,0.0044454592218631786,49
2024-01-01,3,4,1-2-3,0.004416431579611261,50
2024-01-01,3,4,2-5-4,0.004401998262163451,51
2024-01-01,3,4,4-2-3,0.004368494082853693,52
2024-01-01,3,4,1-3-2,0.0043078266598611786,53
2024-01-01,3,4,1-2-6,0.004299362089737283,54
2024-01-01,3,4,4-3-2,0.00426113419746253,55
2024-01-01,3,4,4-2-6,0.004252695306267147,56
2024-01-01,3,4,1-6-2,0.0041552518995064255,57
2024-01-01,3,4,4-6-2,0.004110236375242902,58
2024-01-01,3,4,3-5-1,0.003937326576463923,59
2024-01-01,3,4,1-3-6,0.003917213757877531,60
2024-01-01,3,4,3-5-4,0.0038988333672983154,61
2024-01-01,3,4,5-2-1,0.0038914341709972715,62
2024-01-01,3,4,1-6-3,0.0038813596987498345,63
2024-01-01,3,4,4-3-6,0.0038747551423066197,64
2024-01-01,3,4,5-2-4,0.0038533896281864686,65
2024-01-01,3,4,4-6-3,0.0038393113594625606,66
2024-01-01,3,4,6-5-1,0.003758499020928211,67
2024-01-01,3,4,6-5-4,0.003721754116447553,68
2024-01-01,3,4,2-1-5,0.0037064283701074984,69
2024-01-01,3,4,2-4-5,0.0036678738915831522,70
2024-01-01,3,4,5-3-1,0.0035282445663047603,71
2024-01-01,3,4,5-3-4,0.00349375074075063,72
2024-01-01,3,4,5-6-1,0.0033972629693960316,73
2024-01-01,3,4,5-6-4,0.003364049683291382,74
2024-01-01,3,4,3-1-5,0.0032988659945448555,75
2024-01-01,3,4,3-4-5,0.00326460171994973,76
2024-01-01,3,4,6-1-5,0.003154614756014901,77
2024-01-01,3,4,6-4-5,0.003121866381421359,78
2024-01-01,3,4,1-2-5,0.002854352992733316,79
2024-01-01,3,4,4-2-5,0.002823370844619487,80
2024-01-01,3,4,5-1-2,0.0028174487751618594,81
2024-01-01,3,4,5-4-2,0.0027883733771703607,82
2024-01-01,3,4,5-1-3,0.0026317374719218066,83
2024-01-01,3,4,5-4-3,0.002604578570194881,84
2024-01-01,3,4,1-3-5,0.0026006441373392403,85
2024-01-01,3,4,4-3-5,0.0025724557982571626,86
2024-01-01,3,4,5-1-6,0.002561976136833438,87
2024-01-01,3,4,5-4-6,0.0025355371554117165,88
2024-01-01,3,4,1-6-5,0.0025085344292770043,89
2024-01-01,3,4,4-6-5,0.0024813584613217485,90
2024-01-01,3,4,1-5-2,0.0024786490546849474,91
2024-01-01,3,4,4-5-2,0.002451948818073468,92
2024-01-01,3,4,1-5-3,0.002315269634878523,93
2024-01-01,3,4,4-5-3,0.0022903293364712972,94
2024-01-01,3,4,1-5-6,0.0022538971376055562,95
2024-01-01,3,4,4-5-6,0.002229617949408962,96
2024-01-01,3,4,2-1-4,0.0010277648798262204,97
2024-01-01,3,4,2-4-1,0.0010271155899848991,98
2024-01-01,3,4,3-1-4,0.0009147508797931695,99
2024-01-01,3,4,3-4-1,0.0009141871887543511,100
2024-01-01,3,4,6-1-4,0.000874751089691136,101
2024-01-01,3,4,6-4-1,0.0008742169782788259,102
2024-01-01,3,4,1-2-4,0.0007914907473237058,103
2024-01-01,3,4,4-2-1,0.0007906292027847832,104
2024-01-01,3,4,1-3-4,0.0007211391783097395,105
2024-01-01,3,4,4-3-1,0.0007203654032381502,106
2024-01-01,3,4,1-6-4,0.0006955978448252167,107
2024-01-01,3,4,4-6-1,0.0006948553945142447,108
2024-01-01,3,4,1-4-2,0.0006003181095564244,109
2024-01-01,3,4,4-1-2,0.0006000437353577066,110
2024-01-01,3,4,1-4-3,0.0005607483188055975,111
2024-01-01,3,4,4-1-3,0.0005604920299010892,112
2024-01-01,3,4,1-4-6,0.0005458841646922806,113
2024-01-01,3,4,4-1-6,0.0005456346694198642,114
2024-01-01,3,4,5-1-4,0.0004716468082574798,115
2024-01-01,3,4,5-4-1,0.00047138804345096255,116
2024-01-01,3,4,1-5-4,0.00041493102758023156,117
2024-01-01,3,4,4-5-1,0.0004145138400247089,118
2024-01-01,3,4,1-4-5,0.00036241332240763874,119
2024-01-01,3,4,4-1-5,0.00036224768211900283,120
2024-01-01,3,5,6-5-3,0.03601683159880855,1
2024-01-01,3,5,5-6-3,0.03467320697844031,2
2024-01-01,3,5,6-3-5,0.031404292721121295,3
2024-01-01,3,5,5-3-6,0.028751449555706465,4
2024-01-01,3,5,3-6-5,0.027667132633298994,5
2024-01-01,3,5,6-5-4,0.027016345403371535,6
2024-01-01,3,5,3-5-6,0.026311546417105956,7
2024-01-01,3,5,5-6-4,0.02600848809819028,8
2024-01-01,3,5,6-5-2,0.022265763769697085,9
